ticker,cik,company_name
FAST,0000815556,Fastenal
FRT,0000034903,Federal Realty Investment Trust
FDX,0001048911,FedEx
FDXF,0002082247,FedEx Freight
FIS,0001136893,Fidelity National Information Services
FITB,0000035527,Fifth Third Bancorp
FSLR,0001274494,First Solar
FE,0001031296,FirstEnergy
FISV,0000798354,Fiserv
FLEX,0000866374,Flex Ltd.
F,0000037996,Ford Motor Company
FTNT,0001262039,Fortinet
FTV,0001659166,Fortive
FOXA,0001754301,Fox Corporation (Class A)
FOX,0001754301,Fox Corporation (Class B)
BEN,0000038777,Franklin Resources
FCX,0000831259,Freeport-McMoRan
GRMN,0001121788,Garmin
IT,0000749251,Gartner
GE,0000040545,GE Aerospace
GEHC,0001932393,GE HealthCare
GEV,0001996810,GE Vernova
GEN,0000849399,Gen Digital
GNRC,0001474735,Generac
GD,0000040533,General Dynamics
GIS,0000040704,General Mills
GM,0001467858,General Motors
GPC,0000040987,Genuine Parts Company
GILD,0000882095,Gilead Sciences
GPN,0001123360,Global Payments
GL,0000320335,Globe Life
GDDY,0001609711,GoDaddy
GS,0000886982,Goldman Sachs
HAL,0000045012,Halliburton
HIG,0000874766,Hartford (The)
HAS,0000046080,Hasbro
HCA,0000860730,HCA Healthcare
DOC,0000765880,Healthpeak Properties
HSIC,0001000228,Henry Schein
HSY,0000047111,Hershey Company (The)
HPE,0001645590,Hewlett Packard Enterprise
HLT,0001585689,Hilton Worldwide
HD,0000354950,Home Depot (The)
HONA,0002089271,Honeywell Aerospace
HON,0000773840,Honeywell Technologies
HRL,0000048465,Hormel Foods
HST,0001070750,Host Hotels & Resorts
HWM,0000004281,Howmet Aerospace
HPQ,0000047217,HP Inc.
HUBB,0000048898,Hubbell Incorporated
HUM,0000049071,Humana
HBAN,0000049196,Huntington Bancshares
HII,0001501585,Huntington Ingalls Industries
IBM,0000051143,IBM
IEX,0000832101,IDEX Corporation
IDXX,0000874716,Idexx Laboratories
ITW,0000049826,Illinois Tool Works
INCY,0000879169,Incyte
IR,0001699150,Ingersoll Rand
PODD,0001145197,Insulet Corporation
INTC,0000050863,Intel
IBKR,0001381197,Interactive Brokers
ICE,0001571949,Intercontinental Exchange
IFF,0000051253,International Flavors & Fragrances
IP,0000051434,International Paper
INTU,0000896878,Intuit
ISRG,0001035267,Intuitive Surgical
IVZ,0000914208,Invesco
INVH,0001687229,Invitation Homes
IQV,0001478242,IQVIA
IRM,0001020569,Iron Mountain
JBHT,0000728535,J.B. Hunt
JBL,0000898293,Jabil
JKHY,0000779152,Jack Henry & Associates
J,0000052988,Jacobs Solutions
JNJ,0000200406,Johnson & Johnson
JCI,0000833444,Johnson Controls
JPM,0000019617,JPMorgan Chase
KVUE,0001944048,Kenvue
KDP,0001418135,Keurig Dr Pepper
KEY,0000091576,KeyCorp
KEYS,0001601046,Keysight Technologies
KMB,0000055785,Kimberly-Clark
KIM,0000879101,Kimco Realty
KMI,0001506307,Kinder Morgan
KKR,0001404912,KKR & Co.
KLAC,0000319201,KLA Corporation
KHC,0001637459,Kraft Heinz
KR,0000056873,Kroger
LHX,0000202058,L3Harris
LH,0000920148,Labcorp
LRCX,0000707549,Lam Research
LVS,0001300514,Las Vegas Sands
LDOS,0001336920,Leidos
LEN,0000920760,Lennar
LII,0001069202,Lennox International
LLY,0000059478,Lilly (Eli)
LIN,0001707925,Linde plc
LYV,0001335258,Live Nation Entertainment
LMT,0000936468,Lockheed Martin
L,0000060086,Loews Corporation
LOW,0000060667,Lowe's
LULU,0001397187,Lululemon Athletica
LITE,0001633978,Lumentum
LYB,0001489393,LyondellBasell
MTB,0000036270,M&T Bank
MPC,0001510295,Marathon Petroleum
MAR,0001048286,Marriott International
MRSH,0000062709,Marsh McLennan
MLM,0000916076,Martin Marietta Materials
MRVL,0001835632,Marvell Technology
MAS,0000062996,Masco
MA,0001141391,Mastercard
MKC,0000063754,McCormick & Company
MCD,0000063908,McDonald's
MCK,0000927653,McKesson Corporation
MDT,0001613103,Medtronic
MRK,0000310158,Merck & Co.
META,0001326801,Meta Platforms
MET,0001099219,MetLife
MTD,0001037646,Mettler Toledo
MGM,0000789570,MGM Resorts
MCHP,0000827054,Microchip Technology
MU,0000723125,Micron Technology
MSFT,0000789019,Microsoft
MAA,0000912595,Mid-America Apartment Communities
MRNA,0001682852,Moderna
TAP,0000024545,Molson Coors Beverage Company
MDLZ,0001103982,Mondelez International
MPWR,0001280452,Monolithic Power Systems
MNST,0000865752,Monster Beverage
MCO,0001059556,Moody's Corporation
MS,0000895421,Morgan Stanley
MOS,0001285785,Mosaic Company (The)
MSI,0000068505,Motorola Solutions
MSCI,0001408198,MSCI Inc.
NDAQ,0001120193,"Nasdaq, Inc."
NTAP,0001002047,NetApp
NFLX,0001065280,Netflix
NEM,0001164727,Newmont
NWSA,0001564708,News Corp (Class A)
NWS,0001564708,News Corp (Class B)
NEE,0000753308,NextEra Energy
NKE,0000320187,"Nike, Inc."
NI,0001111711,NiSource
NDSN,0000072331,Nordson Corporation
NSC,0000702165,Norfolk Southern
NTRS,0000073124,Northern Trust
NOC,0001133421,Northrop Grumman
NCLH,0001513761,Norwegian Cruise Line Holdings
NRG,0001013871,NRG Energy
NUE,0000073309,Nucor
NVDA,0001045810,Nvidia
NVR,0000906163,"NVR, Inc."
NXPI,0001413447,NXP Semiconductors
ORLY,0000898173,O’Reilly Automotive
OXY,0000797468,Occidental Petroleum
ODFL,0000878927,Old Dominion
OMC,0000029989,Omnicom Group
ON,0001097864,ON Semiconductor
OKE,0001039684,Oneok
ORCL,0001341439,Oracle Corporation
OTIS,0001781335,Otis Worldwide
PCAR,0000075362,Paccar
PKG,0000075677,Packaging Corporation of America
PLTR,0001321655,Palantir Technologies
PANW,0001327567,Palo Alto Networks
PSKY,0002041610,Paramount Skydance Corporation
PH,0000076334,Parker Hannifin
PAYX,0000723531,Paychex
PYPL,0001633917,PayPal
PNR,0000077360,Pentair
PEP,0000077476,PepsiCo
PFE,0000078003,Pfizer
PCG,0001004980,PG&E Corporation
PM,0001413329,Philip Morris International
PSX,0001534701,Phillips 66
PNW,0000764622,Pinnacle West Capital
PNC,0000713676,PNC Financial Services
PPG,0000079879,PPG Industries
PPL,0000922224,PPL Corporation
PFG,0001126328,Principal Financial Group
PG,0000080424,Procter & Gamble
PGR,0000080661,Progressive Corporation
PLD,0001045609,Prologis
PRU,0001137774,Prudential Financial
PEG,0000788784,Public Service Enterprise Group
PTC,0000857005,PTC Inc.
PSA,0001393311,Public Storage
PHM,0000822416,PulteGroup
PWR,0001050915,Quanta Services
QCOM,0000804328,Qualcomm
DGX,0001022079,Quest Diagnostics
Q,0002058873,Qnity Electronics
RL,0001037038,Ralph Lauren Corporation
RJF,0000720005,Raymond James Financial
RTX,0000101829,RTX Corporation
O,0000726728,Realty Income
REG,0000910606,Regency Centers
REGN,0000872589,Regeneron Pharmaceuticals
RF,0001281761,Regions Financial Corporation
RSG,0001060391,Republic Services
RMD,0000943819,ResMed
RVTY,0000031791,Revvity
HOOD,0001783879,Robinhood Markets
ROK,0001024478,Rockwell Automation
ROL,0000084839,"Rollins, Inc."
ROP,0000882835,Roper Technologies
ROST,0000745732,Ross Stores
RCL,0000884887,Royal Caribbean Group
SPGI,0000064040,S&P Global
CRM,0001108524,Salesforce
SNDK,0002023554,Sandisk
SBAC,0001034054,SBA Communications
SLB,0000087347,Schlumberger
STX,0001137789,Seagate Technology
SRE,0001032208,Sempra
NOW,0001373715,ServiceNow
SHW,0000089800,Sherwin-Williams
SPG,0001063761,Simon Property Group
SWKS,0000004127,Skyworks Solutions
SJM,0000091419,J.M. Smucker Company (The)
SW,0002005951,Smurfit Westrock
SNA,0000091440,Snap-on
SOLV,0001964738,Solventum
SO,0000092122,Southern Company
LUV,0000092380,Southwest Airlines
SWK,0000093556,Stanley Black & Decker
SBUX,0000829224,Starbucks
STT,0000093751,State Street Corporation
STLD,0001022671,Steel Dynamics
STE,0001757898,Steris
SYK,0000310764,Stryker Corporation
SMCI,0001375365,Supermicro
SYF,0001601712,Synchrony Financial
SNPS,0000883241,Synopsys
SYY,0000096021,Sysco
TMUS,0001283699,T-Mobile US
TROW,0001113169,T. Rowe Price
TTWO,0000946581,Take-Two Interactive
TPR,0001116132,"Tapestry, Inc."
TRGP,0001389170,Targa Resources
TGT,0000027419,Target Corporation
TEL,0001385157,TE Connectivity
TDY,0001094285,Teledyne Technologies
TER,0000097210,Teradyne
TSLA,0001318605,"Tesla, Inc."
TXN,0000097476,Texas Instruments
TPL,0001811074,Texas Pacific Land Corporation
TXT,0000217346,Textron
TMO,0000097745,Thermo Fisher Scientific
TJX,0000109198,TJX Companies
TKO,0001973266,TKO Group Holdings
TTD,0001671933,Trade Desk (The)
TSCO,0000916365,Tractor Supply
TT,0001466258,Trane Technologies
TDG,0001260221,TransDigm Group
TRV,0000086312,Travelers Companies (The)
TRMB,0000864749,Trimble Inc.
TFC,0000092230,Truist Financial
TYL,0000860731,Tyler Technologies
TSN,0000100493,Tyson Foods
USB,0000036104,U.S. Bancorp
UBER,0001543151,Uber
UDR,0000074208,"UDR, Inc."
ULTA,0001403568,Ulta Beauty
UNP,0000100885,Union Pacific Corporation
UAL,0000100517,United Airlines Holdings
UPS,0001090727,United Parcel Service
URI,0001067701,United Rentals
UNH,0000731766,UnitedHealth Group
UHS,0000352915,Universal Health Services
VLO,0001035002,Valero Energy
VEEV,0001393052,Veeva Systems
VTR,0000740260,Ventas
VLTO,0001967680,Veralto
VRSN,0001014473,Verisign
VRSK,0001442145,Verisk Analytics
VZ,0000732712,Verizon
VRTX,0000875320,Vertex Pharmaceuticals
VRT,0001674101,Vertiv
VTRS,0001792044,Viatris
VICI,0001705696,Vici Properties
V,0001403161,Visa Inc.
VST,0001692819,Vistra Corp.
VMC,0001396009,Vulcan Materials Company
WRB,0000011544,W. R. Berkley Corporation
GWW,0000277135,W. W. Grainger
WAB,0000943452,Wabtec
WMT,0000104169,Walmart
DIS,0001744489,Walt Disney Company (The)
WBD,0001437107,Warner Bros. Discovery
WM,0000823768,Waste Management
WAT,0001000697,Waters Corporation
WEC,0000783325,WEC Energy Group
WFC,0000072971,Wells Fargo
WELL,0000766704,Welltower
WST,0000105770,West Pharmaceutical Services
WDC,0000106040,Western Digital
WY,0000106535,Weyerhaeuser
WSM,0000719955,"Williams-Sonoma, Inc."
WMB,0000107263,Williams Companies
WTW,0001140536,Willis Towers Watson
WDAY,0001327811,"Workday, Inc."
WYNN,0001174922,Wynn Resorts
XEL,0000072903,Xcel Energy
XYL,0001524472,Xylem Inc.
YUM,0001041061,Yum! Brands
ZBRA,0000877212,Zebra Technologies
ZBH,0001136869,Zimmer Biomet
ZTS,0001555280,Zoetis
